Parameters,Accuracy (%)
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",53.047951854008936
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",31.444379732090855
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",43.61677344205009
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",50.685303824500096
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",53.047951854008936
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",31.444379732090855
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",43.814793244030284
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'sigmoid'}",50.88332362648029
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",53.047951854008936
"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",43.23044069112793
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",64.63016889924288
"{'C': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",52.44224422442245
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",53.047951854008936
"{'C': 1, 'gamma': 'auto', 'kernel': 'poly'}",43.23044069112793
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",64.63016889924288
"{'C': 1, 'gamma': 'auto', 'kernel': 'sigmoid'}",52.44224422442245
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",53.047951854008936
"{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",46.377402446126965
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",65.2222869345758
"{'C': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",42.824694234129296
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",53.047951854008936
"{'C': 10, 'gamma': 'auto', 'kernel': 'poly'}",46.377402446126965
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",65.2222869345758
"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",42.4325373713842
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",53.047951854008936
"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}",47.35779460298971
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",65.2222869345758
"{'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid'}",45.18345952242283
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",53.047951854008936
"{'C': 100, 'gamma': 'auto', 'kernel': 'poly'}",47.35779460298971
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",65.2222869345758
"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",45.37953795379538
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",63.28125
